,IdAcidente,Datahora,Dia da Semana,Sentidos,Latitude GPS,Longitude GPS,Via Trânsito,Localizações,Freguesia,Pov. Proxima,Tipo Natureza,Natureza,Tipo de Traçado,Inclinação do Traçado,Berma do Traçado,Localização do Traçado,Estado Conservação,Características Tecnicas,Reg Circulação,Marca Via,Obstáculos,Sinais,Sinais Luminosos,Tipo Piso,Intersecção Vias,Factores Atmosféricos,Luminosidade,Cond Aderência,VM,FG,FL,Tipos Vias,Via,Num arruamento,Km,Nome arruamento,Localização 2,Ano,Mês,Dia,Hora,Periodo,Estação,Dia Util,Gravidade,Indicador de Gravidade,Veículos envolvidos,Passageiros envolvidos,Peões envolvidos,Inf/Ação: Abertura de porta,Inf/Ação: Desrespeito da sinalização semafórica,Inf/Ação: Desrespeito da sinalização vertical,Inf/Ação: Desrespeito das distâncias de segurança,Inf/Ação: Desrespeito das marcas rodoviárias,Inf/Ação: Encandeamento,Inf/Ação: Manobra irregular,Inf/Ação: Não sinalização da manobra,Inf/Ação: Obstáculo imprevisto na faixa de rodagem,Inf/Ação: Rebentamento de pneumático,Inf/Ação: Velocidade excessiva para as condições existentes,Automóvel ligeiro,Automóvel pesado,Motociclos/Ciclomotores,Outros Veículos,Velocípedes,Peões
10,20191651255,2019-01-03 22:50:00,Quinta-Feira,NÃO DEFINIDO,38.771292,-9.096446,Direita,Dentro das localidades,Parque das Nações,,Colisão,Colisão com veiculo ou obstáculo na faixa de rodagem,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Passagem de peões,Inexistentes,Betuminoso,Em cruzamento,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Rua Pólo Norte,Localização GPS,2019,1,3,22,Noite,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,20191651883,2019-01-07 18:30:00,Segunda-Feira,NÃO DEFINIDO,38.7030559,-9.1933603,Direita,Dentro das localidades,Ajuda,Lisboa,Atropelamento,Atropelamento de peões,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Passagem de peões,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,105,,Rua Aliança Operária,Sem GPS - estimado,2019,1,7,18,Noite,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,20191651889,2019-01-07 18:00:00,Segunda-Feira,NÃO DEFINIDO,38.7694250999999,-9.095463,Direita,Dentro das localidades,Parque das Nações,Lisboa,Atropelamento,Atropelamento de peões,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Sentido único,Com marcas,Inexistentes,Passagem de peões,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,1.03,,Alameda Oceanos,Sem GPS - estimado,2019,1,7,18,Noite,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13,20191651891,2019-01-07 17:43:00,Segunda-Feira,NÃO DEFINIDO,,,Central,Dentro das localidades,Alvalade,Lisboa,Colisão,Colisão lateral com outro veículo em movimento,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Fora da intersecção,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Avenida Almirante Gago Coutinho c/ Rua Rodrigo da Cunha,Sem GPS - não estimado,2019,1,7,17,Tarde,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,20191651909,2019-01-04 16:05:00,Sexta-Feira,No sentido crescente da quilometragem,,,Direita,Dentro das localidades,Santa Maria dos Olivais,Lisboa,Colisão,Colisão choque em cadeia,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em estado regular,Outra via,Dois sentidos,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento com separador,Via Secundária,0,,Avenida Berlim,Sem GPS - não estimado,2019,1,4,16,Tarde,Inverno,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,20191651938,2019-01-02 18:20:00,Quarta-Feira,No sentido decrescente da quilometragem,,,Esquerda,Dentro das localidades,Alvalade,,Colisão,Colisão traseira com outro veículo em movimento,Recta,Em patamar,Berma pavimentada,Em plena via,Em bom estado,Outra via,Sentido único,Com marcas,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento com separador,2ª Circular,0,,Avenida Marechal Craveiro Lopes,Sem GPS - não estimado,2019,1,2,18,Noite,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,20191651963,2019-01-03 16:45:00,Quinta-Feira,NÃO DEFINIDO,38.7745,-9.097095,Direita,Dentro das localidades,Parque das Nações,Lisboa,Atropelamento,Atropelamento de peões,Curva,Com inclinação,Berma pavimentada,Em plena via,Em estado regular,Outra via,Sentido único,Com marcas,Inexistentes,NÃO DEFINIDO,Inexistentes,Betuminoso,Em entroncamento,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento com separador,Via Secundária,0,,Avenida Boa Esperança,Sem GPS - estimado,2019,1,3,16,Tarde,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17,20191652026,2019-01-03 17:40:00,Quinta-Feira,NÃO DEFINIDO,38.7602101,-9.1578323,Direita,Dentro das localidades,Lumiar,Lisboa,Atropelamento,Atropelamento de peões,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Passagem de peões,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Aurora ou crepúsculo,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,1,,Interface Campo Grande,Sem GPS - estimado,2019,1,3,17,Tarde,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
18,20191652038,2019-01-02 15:30:00,Quarta-Feira,NÃO DEFINIDO,38.7057907,-9.2052676,Direita,Dentro das localidades,Belém,Lisboa,Atropelamento,Atropelamento de peões,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,2,Arruamento sem separador,Via Secundária,5,,Rua Tristão Vaz,Sem GPS - estimado,2019,1,2,15,Tarde,Inverno,1,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19,20191652665,2019-01-09 21:20:00,Quarta-Feira,NÃO DEFINIDO,38.7596987,-9.1922191,Direita,Dentro das localidades,Carnide,Lisboa,Colisão,Colisão frontal,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Em cruzamento,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,1,,Avenida Marechal Teixeira Rebelo,Sem GPS - estimado,2019,1,9,21,Noite,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
